Gene_ID	Final_Annotation
1_2114	Teichuronic acid biosynthesis protein TuaB
1_2115	Undecaprenyl-phosphate glucose phosphotransferase
1_2116	NULL
1_2117	NULL
1_2118	Putative colanic acid biosynthesis glycosyl transferase WcaI
1_2119	GDP-mannose mannosyl hydrolase WbdQ/WbhG
1_2120	GDP-L-colitose synthase {ECO:0000303|PubMed:15610039}
1_2121	GDP-mannose 4,6-dehydratase {ECO:0000255|HAMAP-Rule:MF_00955}
1_2122	Putative colanic acid biosynthesis acetyltransferase WcaF
1_2123	Putative colanic acid biosynthesis glycosyl transferase WcaE
1_2124	Putative colanic acid polymerase
1_2125	Putative colanic acid biosynthesis glycosyl transferase WcaC
1_2126	Putative colanic acid biosynthesis acetyltransferase WcaB
1_2127	Putative colanic acid biosynthesis glycosyl transferase WcaA
1_2128	Putative tyrosine-protein kinase EpsB
1_2129	Low molecular weight protein-tyrosine-phosphatase Wzb
1_2130	Putative polysaccharide export protein GfcE
1_2131	UPF0053 inner membrane protein YgdQ
1_2132	Protein AsmA
1_2133	dCTP deaminase {ECO:0000255|HAMAP-Rule:MF_00146}
1_2134	Uridine kinase {ECO:0000255|HAMAP-Rule:MF_00551}
1_2135	Probable diguanylate cyclase DgcE {ECO:0000305}
1_2136	DNA-3-methyladenine glycosylase 2
1_2137	Uncharacterized chaperone protein YegD
1_2138	Protein kinase YegI {ECO:0000305}
1_2139	Uncharacterized protein YegJ
1_2140	Serine/threonine-protein phosphatase 3 {ECO:0000305}
1_2141	Uncharacterized protein YegL
1_2142	Hypothetical protein
1_2143	Multidrug resistance protein MdtA {ECO:0000255|HAMAP-Rule:MF_01422}
1_2144	Multidrug resistance protein MdtB {ECO:0000255|HAMAP-Rule:MF_01423}
1_2145	Multidrug resistance protein MdtC {ECO:0000255|HAMAP-Rule:MF_01424}
1_2146	Putative multidrug resistance protein MdtD {ECO:0000255|HAMAP-Rule:MF_01577}
1_2147	Signal transduction histidine-protein kinase BaeS
1_2148	NULL
1_2149	UPF0339 protein YegP
1_2150	tRNA hydroxylation protein P1 {ECO:0000303|PubMed:31253794}
1_2151	Hypothetical protein
1_2152	Uncharacterized protein YegR
1_2153	Probable lipid kinase YegS-like {ECO:0000255|HAMAP-Rule:MF_01377}
1_2154	Hypothetical protein
1_2155	Transposase InsE for insertion sequence IS3
1_2156	Transposase InsF for insertion sequence IS3fB
1_2157	Putative galactitol utilization operon repressor
1_2158	Galactitol 1-phosphate 5-dehydrogenase
1_2159	Putative permease IIC component
1_2160	PTS system galactitol-specific EIIB component {ECO:0000250|UniProtKB:P37188}
1_2161	PTS system galactitol-specific EIIA component {ECO:0000250|UniProtKB:P69828}
1_2162	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ {ECO:0000255|HAMAP-Rule:MF_01295}
1_2163	D-tagatose-1,6-bisphosphate aldolase subunit GatZ {ECO:0000255|HAMAP-Rule:MF_01296}
1_2164	D-tagatose-1,6-bisphosphate aldolase subunit KbaY {ECO:0000255|HAMAP-Rule:MF_01293}
1_2165	Probable fructose-bisphosphate aldolase class 1
1_2166	Putative nucleoside transporter YegT
1_2167	Uncharacterized protein YegU
1_2168	Uncharacterized sugar kinase YegV
1_2169	Uncharacterized HTH-type transcriptional regulator YegW
1_2170	Uncharacterized protein YegX
1_2171	Hydroxymethylpyrimidine kinase
1_2172	Hydroxyethylthiazole kinase {ECO:0000255|HAMAP-Rule:MF_00228}
1_2173	Hypothetical protein
1_2174	Nickel/cobalt efflux system RcnA
1_2175	Nickel/cobalt homeostasis protein RcnB
1_2176	Uncharacterized fimbrial-like protein YehA
1_2177	Outer membrane usher protein FocD
1_2178	Probable fimbrial chaperone YehC
1_2179	Uncharacterized fimbrial-like protein YehD
1_2180	Uncharacterized protein YehE
1_2181	Cytosolic Fe-S cluster assembly factor NUBP1 homolog {ECO:0000255|HAMAP-Rule:MF_03038}
1_2182	Methionine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_00098}
1_2183	Protein YehF
1_2184	Uncharacterized protein YehI
1_2185	Uncharacterized protein YehI
1_2186	Uncharacterized protein YehI
1_2187	Uncharacterized protein YehK
1_2188	Uncharacterized protein YehL
1_2189	Uncharacterized protein YehM
1_2190	Uncharacterized protein YehP
1_2191	Protein YehQ
1_2192	Uncharacterized lipoprotein YehR
1_2193	Uncharacterized protein YehS
1_2194	Uncharacterized response regulatory protein VP0538
1_2195	Sensor protein LytS
1_2196	HTH-type transcriptional repressor BluR {ECO:0000305}
1_2197	Hypothetical protein
1_2198	Glycine betaine uptake system permease protein YehW {ECO:0000305}
1_2199	Sulfate/thiosulfate import ATP-binding protein CysA 2 {ECO:0000255|HAMAP-Rule:MF_01701}
1_2200	Glycine betaine uptake system permease protein YehY {ECO:0000305}
1_2201	Glycine betaine-binding protein YehZ {ECO:0000305}
1_2202	Beta-glucosidase BoGH3B
1_2203	Quinone-dependent D-lactate dehydrogenase {ECO:0000255|HAMAP-Rule:MF_02092, ECO:0000303|PubMed:21159175}
1_2204	D-alanyl-D-alanine endopeptidase
1_2205	Inner membrane protein YohC
1_2206	Inner membrane protein YohD
1_2207	Uncharacterized oxidoreductase YohF
1_2208	Multidrug resistance outer membrane protein MdtP
1_2209	tRNA-dihydrouridine(16) synthase {ECO:0000255|HAMAP-Rule:MF_02043}
1_2210	UPF0299 membrane protein KPK_1586 {ECO:0000255|HAMAP-Rule:MF_01144}
1_2211	Uncharacterized protein HI_1298
1_2212	Cytidine deaminase {ECO:0000255|HAMAP-Rule:MF_01558}
1_2213	Protein SanA
1_2214	Hypothetical protein
1_2215	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT homolog
1_2216	Dihydropyrimidine dehydrogenase [NADP(+)]
1_2217	Galactoside transport system permease protein MglC homolog
1_2218	Galactose/methyl galactoside import ATP-binding protein MglA {ECO:0000255|HAMAP-Rule:MF_01717}
1_2219	Putative ribose/galactose/methyl galactoside import ATP-binding protein {ECO:0000255|HAMAP-Rule:MF_01717}
1_2220	D-galactose-binding periplasmic protein
1_2221	HTH-type transcriptional regulator GalR
1_2222	Uncharacterized protein YeiB
1_2223	GTP cyclohydrolase 1 {ECO:0000255|HAMAP-Rule:MF_00223}
1_2224	S-formylglutathione hydrolase
1_2225	Ferrienterobactin receptor
1_2226	Amino-acid permease inda1
1_2227	Uncharacterized HTH-type transcriptional regulator YeiE
1_2228	UPF0324 membrane protein RSc1111
1_2229	Probable endonuclease 4 {ECO:0000255|HAMAP-Rule:MF_00152}
1_2230	Pseudouridine kinase
1_2231	Sodium/nucleoside cotransporter 1
1_2232	Pyrimidine-specific ribonucleoside hydrolase RihA {ECO:0000255|HAMAP-Rule:MF_01431}
1_2233	Regulatory protein YeiL
1_2234	Sodium/nucleoside cotransporter 1
1_2235	Pseudouridine-5'-phosphate glycosidase {ECO:0000255|HAMAP-Rule:MF_01876}
1_2236	Uncharacterized sugar kinase YeiI
1_2237	PTS system fructose-specific EIIC component {ECO:0000303|PubMed:9689210}
1_2238	1-phosphofructokinase {ECO:0000250|UniProtKB:P0AEW9}
1_2239	NULL
1_2240	Sugar efflux transporter A
1_2241	UPF0153 protein YeiW
1_2242	Elongation factor P-like protein {ECO:0000255|HAMAP-Rule:MF_00646}
1_2243	Uncharacterized oxidoreductase in tutB 3'region
1_2244	Zinc-binding GTPase YeiR {ECO:0000305}
1_2245	Lipid A 1-diphosphate synthase {ECO:0000255|HAMAP-Rule:MF_01945, ECO:0000305}
1_2246	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
1_2247	NULL
1_2248	NULL
1_2249	Inner membrane ABC transporter permease protein YejB
1_2250	Inner membrane ABC transporter permease protein YejE
1_2251	Glutathione import ATP-binding protein GsiA {ECO:0000250|UniProtKB:P75796}
1_2252	Uncharacterized protein YejG
1_2253	Uncharacterized MFS-type transporter YdgK
1_2254	Ribosomal small subunit pseudouridine synthase A
1_2255	Putative DNA repair helicase RadD {ECO:0000303|PubMed:25425430}
1_2256	50S ribosomal protein L25 {ECO:0000255|HAMAP-Rule:MF_01336}
1_2257	Nucleoid-associated protein ECA2747 {ECO:0000255|HAMAP-Rule:MF_00730}
1_2258	Hypothetical protein
1_2259	Uncharacterized protein HI_0841
1_2260	Adhesin/invasin TibA translocator
1_2261	Transposase InsH for insertion sequence element IS5Y
1_2262	NULL
1_2263	Putative cytochrome c-type biogenesis protein CcmH
1_2264	Thiol:disulfide interchange protein DsbE
1_2265	Probable cytochrome c biosynthesis protein
1_2266	Cytochrome c-type biogenesis protein CcmE {ECO:0000255|HAMAP-Rule:MF_01959}
1_2267	Hypothetical protein
1_2268	Heme exporter protein C
1_2269	Heme exporter protein B
1_2270	Cytochrome c biogenesis ATP-binding export protein CcmA {ECO:0000255|HAMAP-Rule:MF_01707}
1_2271	Cytochrome c-type protein NapC
1_2272	Periplasmic nitrate reductase, electron transfer subunit
1_2273	Methylamine utilization ferredoxin-type protein MauN
1_2274	Methylamine utilization ferredoxin-type protein MauM
1_2275	Periplasmic nitrate reductase {ECO:0000255|HAMAP-Rule:MF_01630}
1_2276	Hypothetical protein
1_2277	Ferredoxin-type protein NapF {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000305}
1_2278	Hypothetical protein
1_2279	Ecotin {ECO:0000255|HAMAP-Rule:MF_00706}
1_2280	Probable malate:quinone oxidoreductase {ECO:0000255|HAMAP-Rule:MF_00212}
1_2281	NULL
1_2282	Alpha-ketoglutarate-dependent dioxygenase AlkB
1_2283	Methylated-DNA--protein-cysteine methyltransferase
1_2284	FAD:protein FMN transferase {ECO:0000250|UniProtKB:A5F5Y3}
1_2285	Outer membrane porin PhoE
1_2286	Phosphotransferase RcsD {ECO:0000255|HAMAP-Rule:MF_00980}
1_2287	Transcriptional regulatory protein RcsB {ECO:0000255|HAMAP-Rule:MF_00981}
1_2288	Hybrid signal transduction histidine kinase L
1_2289	Signal transduction histidine-protein kinase AtoS {ECO:0000305}
1_2290	Regulatory protein LuxO
1_2291	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
1_2292	Succinyl-CoA:3-ketoacid coenzyme A transferase 2B, mitochondrial
1_2293	Putative short-chain fatty acid transporter
1_2294	Beta-ketoadipyl-CoA thiolase
1_2295	Uncharacterized protein YfaP
1_2296	Uncharacterized protein YfaQ
1_2297	Alpha-2-macroglobulin homolog {ECO:0000305}
1_2298	Alpha-2-macroglobulin {ECO:0000250|UniProtKB:P76578}
1_2299	Uncharacterized protein PA4490
1_2300	Uncharacterized protein YfaA
1_2301	DNA gyrase subunit A {ECO:0000255|HAMAP-Rule:MF_01897}
1_2302	Ubiquinone biosynthesis O-methyltransferase {ECO:0000255|HAMAP-Rule:MF_00472}
1_2303	Probable autotransporter YfaL translocator {ECO:0000303|PubMed:22344647}
1_2304	Ribonucleoside-diphosphate reductase subunit alpha
1_2305	NULL
1_2306	Hypothetical protein
1_2307	Protein InaA
1_2308	Hypothetical protein
1_2309	Glycerophosphodiester phosphodiesterase
1_2310	Hexose-6-phosphate:phosphate antiporter {ECO:0000250|UniProtKB:P0AGC0}
1_2311	Anaerobic glycerol-3-phosphate dehydrogenase subunit A2
1_2312	Anaerobic glycerol-3-phosphate dehydrogenase subunit B {ECO:0000255|HAMAP-Rule:MF_00753}
1_2313	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
1_2314	Recombination-promoting nuclease RpnC {ECO:0000303|PubMed:28096446}
1_2315	Hypothetical protein
1_2316	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase {ECO:0000255|HAMAP-Rule:MF_01292}
1_2317	Putative tartrate transporter
1_2318	NULL
1_2319	Uncharacterized HTH-type transcriptional regulator RhmR
1_2320	CinA-like protein {ECO:0000255|HAMAP-Rule:MF_00226}
1_2321	Outer membrane protein YfaZ
1_2322	Nucleoside triphosphatase NudI {ECO:0000255|HAMAP-Rule:MF_01846}
1_2323	Lipopolysaccharide core heptose(II)-phosphate phosphatase {ECO:0000255|HAMAP-Rule:MF_01868}
1_2324	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase {ECO:0000255|HAMAP-Rule:MF_01167}
1_2325	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase {ECO:0000255|HAMAP-Rule:MF_01164}
1_2326	UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating {ECO:0000255|HAMAP-Rule:MF_01166}
1_2327	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD {ECO:0000255|HAMAP-Rule:MF_01870}
1_2328	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase {ECO:0000255|HAMAP-Rule:MF_01165}
1_2329	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE {ECO:0000255|HAMAP-Rule:MF_01869}
1_2330	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF {ECO:0000255|HAMAP-Rule:MF_00538}
1_2331	Signal transduction protein PmrD
1_2332	2-succinylbenzoate--CoA ligase {ECO:0000255|HAMAP-Rule:MF_00731}
1_2333	o-succinylbenzoate synthase {ECO:0000255|HAMAP-Rule:MF_00470}
1_2334	1,4-dihydroxy-2-naphthoyl-CoA synthase {ECO:0000255|HAMAP-Rule:MF_01934}
1_2335	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase {ECO:0000255|HAMAP-Rule:MF_01660}
1_2336	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase {ECO:0000255|HAMAP-Rule:MF_01659}
1_2337	Isochorismate synthase MenF {ECO:0000255|HAMAP-Rule:MF_01935}
1_2338	Protein ElaB
1_2339	Protein ElaA
1_2340	Ribonuclease Z {ECO:0000255|HAMAP-Rule:MF_01818}
1_2341	Insertion element iso-IS1d protein InsA
1_2342	Insertion element IS1 protein InsB
1_2343	Protease ElaD
1_2344	Uncharacterized protein YfbK
1_2345	Uncharacterized protein YfbL
1_2346	Protein YfbM
1_2347	Uncharacterized protein YfbN
1_2348	Uncharacterized protein YfbO
1_2349	Uncharacterized protein YfbP
1_2350	NADH-quinone oxidoreductase subunit N {ECO:0000255|HAMAP-Rule:MF_00445}
1_2351	NADH-ubiquinone oxidoreductase chain 4
1_2352	NADH-ubiquinone oxidoreductase chain 5
1_2353	NADH-quinone oxidoreductase subunit K {ECO:0000255|HAMAP-Rule:MF_01456}
1_2354	NADH-quinone oxidoreductase subunit J
1_2355	NADH-quinone oxidoreductase subunit I {ECO:0000255|HAMAP-Rule:MF_01351}
1_2356	NADH-quinone oxidoreductase subunit H {ECO:0000255|HAMAP-Rule:MF_01350}
1_2357	NADH-quinone oxidoreductase subunit G
1_2358	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
1_2359	NADH-quinone oxidoreductase subunit E
1_2360	NADH-quinone oxidoreductase subunit C/D {ECO:0000255|HAMAP-Rule:MF_01359}
1_2361	NADH-quinone oxidoreductase subunit B {ECO:0000255|HAMAP-Rule:MF_01356}
1_2362	NADH-quinone oxidoreductase subunit A {ECO:0000255|HAMAP-Rule:MF_01394}
1_2363	Hypothetical protein
1_2364	HTH-type transcriptional regulator PecT
1_2365	Alanine aminotransferase {ECO:0000250|UniProtKB:P9WQ91}
1_2366	5'-deoxynucleotidase ECA3034 {ECO:0000255|HAMAP-Rule:MF_01100}
1_2367	Uncharacterized transporter YfbS
1_2368	Hexitol phosphatase A {ECO:0000303|PubMed:27941785}
1_2369	UPF0304 protein VV2347 {ECO:0000255|HAMAP-Rule:MF_00762}
1_2370	UPF0208 membrane protein YPTS_2690 {ECO:0000255|HAMAP-Rule:MF_01101}
1_2371	Acetate kinase {ECO:0000255|HAMAP-Rule:MF_00020}
1_2372	Phosphate acetyltransferase
1_2373	Uncharacterized protein HI_0594
1_2374	Uncharacterized Nudix hydrolase YPO2781/y1614/YP_2383
1_2375	Phosphodiesterase YfcE
1_2376	Glutathione S-transferase YfcF
1_2377	Disulfide-bond oxidoreductase YfcG
1_2378	Dihydroneopterin triphosphate 2'-epimerase
1_2379	Epimerase family protein SDR39U1 homolog, chloroplastic {ECO:0000305}
1_2380	Putative inactive recombination-promoting nuclease-like protein YjiQ
1_2381	Arginine transport ATP-binding protein ArtP
1_2382	Histidine transport system permease protein HisM
1_2383	Histidine transport system permease protein HisQ
1_2384	NULL
1_2385	NULL
1_2386	Probable UbiX-like flavin prenyltransferase {ECO:0000255|HAMAP-Rule:MF_01986}
1_2387	Amidophosphoribosyltransferase, chloroplastic
1_2388	Colicin V production protein homolog
1_2389	Cell division protein DedD {ECO:0000255|HAMAP-Rule:MF_02022, ECO:0000305}
1_2390	Dihydrofolate synthase/folylpolyglutamate synthase
1_2391	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta {ECO:0000255|HAMAP-Rule:MF_01395}
1_2392	Protein DedA
1_2393	tRNA pseudouridine synthase A {ECO:0000255|HAMAP-Rule:MF_00171}
1_2394	Aspartate-semialdehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_02121}
1_2395	Erythronate-4-phosphate dehydrogenase {ECO:0000255|HAMAP-Rule:MF_01825}
1_2396	Flagellar regulator flk
1_2397	Uncharacterized MFS-type transporter YhhS {ECO:0000255|HAMAP-Rule:MF_01118}
1_2398	3-oxoacyl-[acyl-carrier-protein] synthase 2
1_2399	FAD-dependent cmnm(5)s(2)U34 oxidoreductase {ECO:0000255|HAMAP-Rule:MF_01102}
1_2400	Hypothetical protein
1_2401	Elongation factor P hydroxylase
1_2402	Probable membrane transporter protein ORF9
1_2403	Penicillin-insensitive murein endopeptidase {ECO:0000255|HAMAP-Rule:MF_01623}
1_2404	Chorismate synthase {ECO:0000255|HAMAP-Rule:MF_00300}
1_2405	50S ribosomal protein L3 glutamine methyltransferase {ECO:0000255|HAMAP-Rule:MF_02125}
1_2406	UPF0115 protein YE1279 {ECO:0000255|HAMAP-Rule:MF_01042}
1_2407	Uncharacterized protein YfcO
1_2408	Uncharacterized fimbrial-like protein YfcP
1_2409	Uncharacterized fimbrial-like protein YfcQ
1_2410	Uncharacterized fimbrial-like protein YfcR
1_2411	Chaperone protein PmfD
1_2412	Outer membrane usher protein PapC
1_2413	Uncharacterized outer membrane usher protein YbgQ
1_2414	Uncharacterized fimbrial-like protein YfcV
1_2415	Phosphohistidine phosphatase SixA
1_2416	3-hydroxyacyl-CoA dehydrogenase {ECO:0000255|HAMAP-Rule:MF_01617}
1_2417	3-ketoacyl-CoA thiolase {ECO:0000255|HAMAP-Rule:MF_01618}
1_2418	UPF0381 protein YfcZ
1_2419	Outer membrane protein P1
1_2420	Uncharacterized protein YfdF
1_2421	Intermembrane phospholipid transport system lipoprotein MlaA {ECO:0000250|UniProtKB:P76506}
1_2422	Inner membrane protein YfdC
1_2423	Integrase
1_2424	Uncharacterized glycosyltransferase YkoT
1_2425	Uncharacterized protein YfdI
1_2426	Putative protein TfaS {ECO:0000305}
1_2427	Uncharacterized protein YfdK
1_2428	Putative uncharacterized protein YfdL
1_2429	Putative methyltransferase YfdM
1_2430	Uncharacterized protein YfdN
1_2431	Protein YfdO
1_2432	Uncharacterized protein YfdP
1_2433	Uncharacterized protein YfdQ
1_2434	Uncharacterized protein YfdR
1_2435	Uncharacterized protein YfdS
1_2436	Uncharacterized protein YfdT
1_2437	Hypothetical protein
1_2438	HTH-type transcriptional regulator DsdC
1_2439	Uncharacterized permease YojA
1_2440	Probable D-serine dehydratase {ECO:0000255|HAMAP-Rule:MF_01030}
1_2441	Fatty acid resistance protein FarB {ECO:0000305}
1_2442	Fatty acid resistance protein FarA {ECO:0000305}
1_2443	DNA-binding transcriptional activator EvgA {ECO:0000305}
1_2444	Sensor histidine kinase RcsC {ECO:0000255|HAMAP-Rule:MF_00979}
1_2445	Succinyl-CoA:mesaconate CoA-transferase {ECO:0000303|PubMed:21252347}
1_2446	Uncharacterized transporter YfdV
1_2447	Putative 2-hydroxyacyl-CoA lyase {ECO:0000305}
1_2448	Formyl-CoA:oxalate CoA-transferase
1_2449	Protein YfdX
1_2450	Uncharacterized lipoprotein YpdI
1_2451	Hypothetical protein
1_2452	Lipid A biosynthesis lauroyltransferase {ECO:0000255|HAMAP-Rule:MF_01942}
1_2453	L-glutamine--4-(methylsulfanyl)-2-oxobutanoate aminotransferase {ECO:0000305}
1_2454	Sensor protein LytS
1_2455	Protein MrkE
1_2456	Uncharacterized HTH-type transcriptional regulator YpdC
1_2457	Phosphoenolpyruvate-protein phosphotransferase {ECO:0000303|PubMed:11679669}
1_2458	Aminopeptidase YpdE
1_2459	Uncharacterized peptidase SAS1635
1_2460	Fructose-like permease IIC component
1_2461	PTS system fructose-like EIIB component 1 {ECO:0000250|UniProtKB:P20966}
1_2462	Glucokinase {ECO:0000255|HAMAP-Rule:MF_00524}
1_2463	Putative ion-transport protein YfeO {ECO:0000255|HAMAP-Rule:MF_01115}
1_2464	Uncharacterized protein YpeC
1_2465	Divalent metal cation transporter MntH {ECO:0000255|HAMAP-Rule:MF_00221}
1_2466	Purine nucleoside transport protein NupG
1_2467	Transposase for insertion sequence element IS421
1_2468	Hypothetical protein
1_2469	Cyclic di-GMP phosphodiesterase PdeF {ECO:0000305}
1_2470	Uncharacterized protein YfeC
1_2471	Uncharacterized protein YfeD
1_2472	Glutamate--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_00022}
1_2473	HTH-type transcriptional regulator XapR
1_2474	Nucleoside permease NupG {ECO:0000255|HAMAP-Rule:MF_02049}
1_2475	NULL
1_2476	Uncharacterized protein YfeN
1_2477	Uncharacterized HTH-type transcriptional regulator YfeR
1_2478	Uncharacterized protein PA2026
1_2479	Hypothetical protein
1_2480	DNA ligase {ECO:0000255|HAMAP-Rule:MF_01588}
1_2481	Cell division protein ZipA {ECO:0000255|HAMAP-Rule:MF_00509}
1_2482	Sulfate transporter CysZ {ECO:0000255|HAMAP-Rule:MF_00468}
1_2483	Cysteine synthase
1_2484	Hypothetical protein
1_2485	PTS system fructose-like EIIA component {ECO:0000250|UniProtKB:P77439}
1_2486	PTS system glucose-specific EIIA component {ECO:0000250|UniProtKB:P69783}
1_2487	Pyridoxine/pyridoxal/pyridoxamine kinase {ECO:0000255|HAMAP-Rule:MF_01638}
1_2488	Uncharacterized protein YfeK
1_2489	Uncharacterized protein YfeS
1_2490	Cysteine synthase
1_2491	Sulfate/thiosulfate import ATP-binding protein CysA {ECO:0000255|HAMAP-Rule:MF_01701}
1_2492	Sulfate permease 2, chloroplastic
1_2493	Probable sulfate transport system permease protein cysT
1_2494	Sulfate-binding protein
1_2495	Oxidoreductase UcpA
1_2496	HTH-type transcriptional regulator MurR {ECO:0000255|HAMAP-Rule:MF_02108}
1_2497	N-acetylmuramic acid 6-phosphate etherase {ECO:0000255|HAMAP-Rule:MF_00068}
1_2498	N-acetylmuramic acid permease IIC component {ECO:0000250|UniProtKB:P77272}
1_2499	N-acetylmuramyl-L-alanine amidase {ECO:0000303|PubMed:20400549}
1_2500	Dye-decolorizing peroxidase YfeX {ECO:0000303|PubMed:28109884}
1_2501	Uncharacterized protein YfeY
1_2502	Inner membrane protein YfeZ
1_2503	Acetyltransferase plu1384 {ECO:0000255|HAMAP-Rule:MF_01127}
1_2504	N-acetylmuramoyl-L-alanine amidase AmiC
1_2505	Oxygen-dependent coproporphyrinogen-III oxidase {ECO:0000255|HAMAP-Rule:MF_00333}
1_2506	HTH-type DNA-binding transcriptional activator EutR {ECO:0000305}
1_2507	Bacterial microcompartment shell protein EutK
1_2508	Bacterial microcompartment shell protein EutL
1_2509	Ethanolamine ammonia-lyase small subunit {ECO:0000255|HAMAP-Rule:MF_00601}
1_2510	Ethanolamine ammonia-lyase large subunit {ECO:0000255|HAMAP-Rule:MF_00861, ECO:0000303|PubMed:2197274}
1_2511	Prophage integrase IntS {ECO:0000305}
1_2512	Uncharacterized protein YffL
1_2513	Hypothetical protein
1_2514	Uncharacterized protein YffN
1_2515	Uncharacterized protein YffO
1_2516	Uncharacterized protein YffP
1_2517	Uncharacterized protein YffQ
1_2518	Uncharacterized protein YffR
1_2519	Uncharacterized protein YffS
1_2520	Ethanolamine ammonia-lyase reactivase EutA
1_2521	Uncharacterized protein YxeR
1_2522	NADPH-dependent butanol dehydrogenase
1_2523	Ethanolamine utilization protein EutJ
1_2524	NULL
1_2525	Bacterial microcompartment vertex protein EutN {ECO:0000303|PubMed:23456886}
1_2526	Bacterial microcompartment shell protein EutM
1_2527	Phosphate acetyltransferase
1_2528	EutT adenosyltransferase {ECO:0000303|PubMed:15516577}
1_2529	Acetate kinase EutQ {ECO:0000303|PubMed:26448059}
1_2530	Probable acetate kinase EutP {ECO:0000303|PubMed:26448059}
1_2531	Bacterial microcompartment shell protein EutS
1_2532	NULL
1_2533	Transaldolase {ECO:0000255|HAMAP-Rule:MF_00492}
1_2534	Transketolase 1 {ECO:0000250|UniProtKB:P27302}
1_2535	Uncharacterized protein YpfG
1_2536	GDP-mannose pyrophosphatase
1_2537	Glutamate synthase [NADPH] small chain
1_2538	Sensor protein NarQ homolog
1_2539	Multidrug resistance protein MdtB {ECO:0000255|HAMAP-Rule:MF_01423}
1_2540	Protein YffB
1_2541	Succinyl-diaminopimelate desuccinylase {ECO:0000255|HAMAP-Rule:MF_01690}
1_2542	Hypothetical protein
1_2543	Esterase YpfH
1_2544	tRNA(Met) cytidine acetyltransferase TmcA {ECO:0000255|HAMAP-Rule:MF_01886}
1_2545	Uncharacterized protein YpfJ
1_2546	Phosphoribosylaminoimidazole-succinocarboxamide synthase {ECO:0000255|HAMAP-Rule:MF_00137}
1_2547	Hypothetical protein
1_2548	Outer membrane protein assembly factor BamC {ECO:0000255|HAMAP-Rule:MF_00924}
1_2549	4-hydroxy-tetrahydrodipicolinate synthase {ECO:0000255|HAMAP-Rule:MF_00418}
1_2550	Glycine cleavage system transcriptional repressor
1_2551	Putative peroxiredoxin bcp
1_2552	Formate hydrogenlyase subunit 2
1_2553	Formate hydrogenlyase subunit 3
1_2554	Formate hydrogenlyase subunit 4
1_2555	Hydrogenase-4 component D
1_2556	Hydrogenase-4 component E
1_2557	Hydrogenase-4 component F homolog
1_2558	Membrane-bound hydrogenase subunit alpha {ECO:0000303|PubMed:10852873}
1_2559	Hydrogenase-4 component H
1_2560	Formate hydrogenlyase subunit 7
1_2561	Hydrogenase-4 component J
1_2562	NULL
1_2563	NULL
1_2564	Putative permease PerM homolog
1_2565	Putative beta-barrel assembly-enhancing protease {ECO:0000255|HAMAP-Rule:MF_00997}
1_2566	Uncharacterized protein YfgD
1_2567	DnaA regulatory inactivator Hda {ECO:0000255|HAMAP-Rule:MF_01158}
1_2568	Putative pyrimidine permease RutG
1_2569	Uracil phosphoribosyltransferase {ECO:0000255|HAMAP-Rule:MF_01218}
1_2570	Phosphoribosylformylglycinamidine cyclo-ligase {ECO:0000255|HAMAP-Rule:MF_00741}
1_2571	Phosphoribosylglycinamide formyltransferase {ECO:0000255|HAMAP-Rule:MF_01930}
1_2572	Polyphosphate kinase {ECO:0000255|HAMAP-Rule:MF_00347, ECO:0000303|PubMed:10224002}
1_2573	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase {ECO:0000255|HAMAP-Rule:MF_01550}
1_2574	Probable cyclic di-GMP phosphodiesterase PdeA {ECO:0000305}
1_2575	Hypothetical protein
1_2576	Hypothetical protein
1_2577	Uncharacterized lipoprotein YfgH
1_2578	Uncharacterized protein YfgI
1_2579	GMP synthase [glutamine-hydrolyzing] {ECO:0000255|HAMAP-Rule:MF_00344}
1_2580	Inosine-5'-monophosphate dehydrogenase {ECO:0000255|HAMAP-Rule:MF_01964}
1_2581	Exodeoxyribonuclease 7 large subunit {ECO:0000255|HAMAP-Rule:MF_00378}
